1 30 1985 36 574 1 253 43 636 113 1266 202 2068 10 334 149 1588 209 2126 28 495 65 831 54 736 74 913 147 1567 30 520 151 1603 61 795 16 386 142 1528 214 2176 115 1278 68 855 226 2278 238 2389 155 1637 245 2448 142 1522 8 316 23 449 7 313 194 1996
2 30 2177 129 1406 165 1734 118 1307 183 1893 50 700 122 1342 153 1622 23 451 101 1152 136 1471 23 449 200 2050 176 1830 127 1388 75 917 173 1802 8 322 165 1727 234 2355 130 1419 84 1000 33 542 8 317 213 2167 168 1759 43 631 143 1535 137 1483 88 1038 48 675
3 30 2706 245 2449 160 1690 198 2028 42 624 235 2357 15 382 209 2123 208 2115 18 406 89 1045 74 910 164 1722 186 1916 41 615 220 2223 133 1442 59 777 50 693 169 1767 86 1018 75 920 214 2172 138 1485 236 2372 158 1664 239 2396 239 2399 54 730 147 1572 216 2190
4 30 2364 209 2123 50 696 54 735 238 2389 107 1211 148 1581 17 401 87 1026 18 411 68 857 163 1711 159 1676 177 1843 176 1826 62 808 22 444 241 2415 120 1324 152 1615 186 1921 114 1271 196 2009 188 1939 173 1805 77 940 177 1842 204 2078 12 354 112 1257 186 1922
5 30 2386 35 560 136 1470 174 1808 195 2005 117 1298 217 2201 181 1875 135 1462 83 997 50 695 155 1645 88 1038 227 2285 79 960 44 643 192 1978 27 492 83 991 35 558 118 1310 143 1535 77 935 171 1784 205 2091 185 1915 26 478 238 2386 167 1748 12 356 81 974
6 30 2556 95 1103 199 2039 55 743 25 475 161 1695 98 1131 66 836 234 2348 126 1381 79 954 232 2337 232 2334 129 1411 110 1233 168 1762 160 1685 236 2373 242 2423 52 717 51 703 144 1544 201 2051 193 1981 194 1992 183 1893 17 403 210 2138 57 762 155 1639 121 1339
7 30 2466 194 1996 194 1988 35 559 222 2243 194 1988 227 2287 24 466 217 2199 160 1687 103 1170 139 1494 46 664 65 835 103 1177 41 611 157 1663 41 614 189 1947 67 853 96 1108 222 2245 198 2029 199 2041 152 1611 17 395 25 473 119 1321 47 673 226 2284 140 1504
8 30 2570 159 1676 173 1807 119 1319 218 2210 100 1148 193 1980 33 546 184 1900 193 1982 147 1568 16 391 96 1112 237 2383 67 847 32 530 160 1684 114 1271 66 844 199 2041 71 887 109 1227 169 1770 11 348 223 2252 162 1701 132 1438 230 2317 58 772 159 1678 162 1703
9 30 2535 81 979 14 376 165 1734 43 633 144 1544 145 1547 203 2069 165 1729 61 795 86 1021 29 507 150 1596 126 1378 216 2191 245 2455 188 1939 161 1693 214 2169 147 1568 78 944 175 1820 207 2107 118 1310 94 1093 108 1217 86 1017 71 881 213 2161 42 626 145 1552
10 30 2523 49 687 248 2477 177 1835 67 846 130 1414 100 1144 126 1382 243 2433 245 2454 115 1278 248 2482 47 666 228 2300 219 2218 139 1494 106 1201 47 665 58 772 57 758 75 923 116 1292 56 751 109 1226 236 2373 55 740 195 1997 102 1167 62 800 236 2370 19 417
11 30 2131 80 966 166 1742 230 2313 215 2182 42 623 20 430 76 926 97 1120 176 1826 25 468 46 662 178 1847 128 1399 71 881 207 2106 95 1101 158 1670 135 1463 211 2142 115 1283 232 2331 89 1046 3 273 17 401 202 2065 26 483 140 1508 83 996 91 1061 134 1450
12 30 2351 112 1258 158 1669 40 604 74 912 133 1439 51 706 246 2457 72 897 113 1263 198 2025 21 438 31 528 197 2015 42 625 123 1352 201 2051 206 2101 18 408 120 1329 13 366 203 2072 206 2098 101 1153 117 1302 114 1270 215 2179 212 2150 30 516 248 2478 178 1849
13 30 2311 204 2079 154 1632 111 1249 64 826 60 783 92 1072 75 917 102 1163 61 797 232 2336 223 2251 237 2380 168 1756 125 1370 78 952 44 639 16 390 57 756 96 1113 38 588 30 518 128 1394 202 2063 218 2206 82 982 125 1369 106 1201 198 2024 110 1240 176 1826
14 30 2139 97 1115 180 1866 22 448 69 866 30 518 111 1246 248 2477 75 925 144 1538 28 496 66 841 151 1609 101 1152 59 777 220 2227 95 1099 235 2365 97 1119 241 2413 156 1649 116 1288 125 1375 11 345 165 1732 2 267 232 2338 61 795 68 854 83 991 87 1032
15 30 2026 228 2298 74 914 65 830 249 2485 85 1015 80 963 25 470 1 259 237 2376 142 1526 161 1694 80 969 234 2348 43 632 36 570 71 887 145 1555 230 2316 213 2166 14 372 73 899 205 2087 24 458 15 381 9 326 64 819 244 2445 79 955 98 1131 150 1597
16 30 2366 69 871 48 680 187 1928 201 2051 224 2264 250 2500 81 979 2 262 197 2022 108 1216 225 2269 95 1102 65 835 53 720 158 1672 25 470 241 2417 89 1051 165 1735 2 265 83 997 108 1214 194 1991 79 960 81 978 246 2458 214 2173 1 251 52 715 232 2338
17 30 2327 123 1350 18 410 38 586 134 1448 177 1838 196 2007 210 2137 140 1503 87 1033 17 400 241 2417 151 1604 30 519 194 1989 140 1503 38 589 158 1672 224 2265 219 2218 118 1312 97 1117 70 875 209 2131 118 1311 126 1377 56 748 81 971 192 1971 183 1892 49 685
18 30 2689 162 1702 217 2199 244 2438 148 1582 221 2234 44 642 148 1580 112 1257 38 589 221 2238 164 1719 226 2284 119 1314 76 929 239 2399 94 1096 250 2498 149 1588 159 1677 121 1332 165 1731 21 435 169 1764 192 1974 148 1578 41 619 240 2402 47 672 57 762 63 809
19 30 2426 43 637 124 1362 241 2411 119 1315 39 594 105 1195 42 621 110 1240 30 518 127 1386 149 1587 73 904 53 722 97 1116 228 2301 108 1215 106 1196 192 1977 30 519 204 2083 91 1063 195 2004 231 2321 175 1818 159 1674 224 2266 200 2048 43 629 225 2270 13 363
