1 15 5537 144 30 172 82 808 396 595 311 109 33 216 92 586 277 602 291 61 37 856 428 269 164 951 476 977 489 29 42 547 274
2 15 5036 470 247 200 99 610 289 401 203 89 72 702 352 297 162 32 31 936 468 334 142 30 50 671 325 572 288 350 155 602 320
3 15 7205 790 388 937 466 833 422 70 21 294 158 741 362 877 439 235 94 675 332 298 174 549 295 629 331 956 477 588 309 535 283
4 15 5505 216 143 427 219 67 19 72 15 650 330 708 360 248 93 962 481 607 313 454 243 751 380 307 168 813 398 448 238 152 46
5 15 6504 693 355 466 253 722 363 332 146 620 305 905 451 175 110 108 39 137 66 571 278 682 352 740 360 950 476 48 7 982 491
6 15 6822 219 79 643 318 261 163 503 242 928 467 516 255 672 341 944 475 208 80 575 301 770 391 731 354 839 416 617 308 102 76
7 15 4942 138 102 773 396 96 81 639 316 553 263 260 124 161 91 162 103 268 126 887 447 796 401 65 30 188 127 558 292 634 324
8 15 6471 872 435 769 376 733 374 586 275 383 220 266 105 637 317 264 154 283 137 676 323 890 447 528 284 232 127 646 337 324 132
9 15 6629 171 92 577 302 657 320 343 146 599 300 863 438 751 379 853 428 309 168 826 413 375 183 341 156 849 420 579 308 194 137
10 15 5350 265 134 398 199 970 487 457 256 185 126 875 438 423 193 232 95 300 147 223 106 944 471 777 387 245 156 75 75 319 171
11 15 4504 859 425 80 22 387 206 97 20 710 355 281 164 379 198 539 286 459 253 354 145 67 63 104 57 332 157 534 254 448 232
12 15 5263 295 150 203 140 288 141 789 386 124 87 167 83 801 407 71 34 52 56 822 409 468 232 857 434 118 103 711 353 813 409
13 15 6160 256 109 366 170 406 188 927 467 947 475 498 240 173 51 225 104 150 43 509 270 870 433 498 245 789 393 701 360 385 206
14 15 5572 274 110 443 249 300 155 110 34 604 298 234 146 378 216 386 222 622 310 500 227 659 313 928 463 269 122 348 186 910 454
15 15 5349 994 497 317 131 4 47 568 290 320 190 170 56 283 148 918 462 54 7 817 401 58 6 976 488 392 202 15 32 801 409
16 15 6526 324 129 788 393 898 448 260 109 632 302 963 481 660 313 332 162 774 383 324 195 855 420 207 138 537 268 71 3 533 276
17 15 6966 839 421 348 146 963 482 120 84 557 263 632 331 875 437 386 179 836 418 501 237 321 179 730 357 141 83 867 440 592 312
